QID;W1;W2;Qtype;u1;u2;u3;u4;u5;u6;u7;u8;u9;u10;u11;u12
1;mýzrap;barýnak;Sim;0;0;0;0;0;0;0;0;0;2;0;0
2;kýrmýzý;gül;Sim;0;0;0;2;0;4;2;1;2;3;0;0
3;suçlu;þüphe;Sim;0;1;1;5;8;5;1;0;4;4;0;0
4;laikçiler;sekülerizmciler;Sim;9;9;9;9;10;5;8;10;10;10;10;9
5;bitki;zeytin;Sim;2;6;1;5;2;5;3;2;5;5;2;6
6;serin;soðuk;Sim;8;7;7;8;8;8;9;7;6;8;6;5
7;gül;pamuk;Sim;1;4;0;8;0;5;3;0;0;4;0;0
8;içki;alkol;Sim;4;10;8;10;9;9;6;2;10;6;10;9
9;köle;serbest;Sim;0;0;0;0;0;1;0;0;2;1;0;0
10;saray;pýhtý;Sim;0;0;0;0;0;0;0;0;2;2;0;0
11;affediþi;baðýþlayýþý;Sim;9;10;8;8;10;10;10;7;7;10;10;10
12;sofra;zeytin;Sim;0;1;0;4;0;5;1;0;3;3;0;4
13;eþya;gözlük;Sim;0;1;0;4;0;5;2;1;3;5;1;6
14;meslek;mühendis;Sim;0;2;1;5;0;5;2;1;2;5;0;6
15;savunmaktaydýlar;korumaktaydýlar;Sim;9;10;7;8;7;10;7;8;9;10;8;5
16;peynir;ipek;Sim;0;0;0;1;0;5;0;0;2;2;0;0
17;turizm;seyahat;Sim;0;10;6;9;0;7;5;1;6;5;2;3
18;týknaz;uyumlu;Sim;0;0;0;0;0;0;0;0;0;2;0;0
19;kemalci;atatürkist;Sim;10;10;9;9;9;10;10;7;5;7;10;9
20;polis;yardým;Sim;0;5;2;4;0;3;6;3;4;3;5;5
21;gürültü;otobüs;Sim;0;0;0;2;0;0;1;1;4;3;0;0
22;temiz;titiz;Sim;7;9;9;9;6;10;9;4;8;7;8;8
23;kitaplýklar;kitap;Sim;0;5;5;3;0;2;10;1;4;5;1;6
24;böcek;karýnca;Sim;1;4;2;6;0;5;4;1;6;6;1;6
25;gazete;kitap;Sim;4;9;2;8;0;8;3;1;6;6;6;6
26;okul;kordon;Sim;0;0;0;0;0;1;0;0;0;2;0;0
27;ibadet;oruç;Sim;2;9;4;8;6;5;4;2;7;6;6;6
28;varlýk;hayvan;Sim;0;0;1;5;0;3;1;1;6;5;1;6
29;tüketim;üretim;Sim;0;0;0;0;0;0;0;0;3;0;0;0
30;sihirbaz;büyücü;Sim;3;6;9;7;6;10;10;7;8;8;10;7
31;giysi;gömlek;Sim;1;5;5;5;6;5;6;2;4;5;2;6
32;hayvan;tavuk;Sim;1;3;2;4;0;5;5;2;5;5;2;6
33;sevgili;çiçek;Sim;0;0;2;2;0;1;3;0;3;3;0;0
34;turizm;ekonomi;Sim;2;0;5;2;0;5;1;0;3;6;0;0
35;eski;yeni;Sim;0;0;0;0;0;0;0;0;2;0;0;0
36;yüzük;sevgili;Sim;0;0;0;2;0;2;5;0;2;6;0;0
37;primatçalarý;maymunsularý;Sim;8;0;7;7;9;10;9;4;3;9;0;10
38;bilimci;faiz;Sim;0;0;0;0;0;2;0;0;0;1;0;0
39;gündüz;öðle;Sim;4;10;1;5;0;7;3;5;2;10;2;5
