input_condition,model,layer,pooling,spearman_rho,p_value,n_pairs,model_name
contextual,BERTurk,1,first,0.45656219068481774,1.4953782348983313e-26,489,dbmdz/bert-base-turkish-cased
contextual,BERTurk,1,last,0.36002758391579204,2.0652812082996102e-16,489,dbmdz/bert-base-turkish-cased
contextual,BERTurk,1,mean,0.3341416794379602,3.216416922145711e-14,489,dbmdz/bert-base-turkish-cased
contextual,BERTurk,1,max,0.24326820101078075,5.100928270972498e-08,489,dbmdz/bert-base-turkish-cased
contextual,BERTurk,7,first,0.5182955110647481,5.732573821131856e-35,489,dbmdz/bert-base-turkish-cased
contextual,BERTurk,7,last,0.42816676901197087,3.207994022483077e-23,489,dbmdz/bert-base-turkish-cased
contextual,BERTurk,7,mean,0.42599754103148413,5.598203249538392e-23,489,dbmdz/bert-base-turkish-cased
contextual,BERTurk,7,max,0.35459237180330666,6.198046010194942e-16,489,dbmdz/bert-base-turkish-cased
contextual,BERTurk,12,first,0.4432828336939828,5.913139627160106e-25,489,dbmdz/bert-base-turkish-cased
contextual,BERTurk,12,last,0.4018336111108107,2.1191360985349795e-20,489,dbmdz/bert-base-turkish-cased
contextual,BERTurk,12,mean,0.4501938328989277,8.900408265596806e-26,489,dbmdz/bert-base-turkish-cased
contextual,BERTurk,12,max,0.3639024768554624,9.313038710321005e-17,489,dbmdz/bert-base-turkish-cased
contextual,mBERT,1,first,0.09784096955192363,0.030522232023438737,489,bert-base-multilingual-cased
contextual,mBERT,1,last,-0.0071754513613821016,0.8742446925675124,489,bert-base-multilingual-cased
contextual,mBERT,1,mean,-0.04533064965199958,0.3171357673664311,489,bert-base-multilingual-cased
contextual,mBERT,1,max,-0.1181831542133935,0.008899008402036364,489,bert-base-multilingual-cased
contextual,mBERT,7,first,0.23214968567718364,2.0853920237691227e-07,489,bert-base-multilingual-cased
contextual,mBERT,7,last,0.23070857577410894,2.4902673208182926e-07,489,bert-base-multilingual-cased
contextual,mBERT,7,mean,0.1691751380065829,0.00017088084642511467,489,bert-base-multilingual-cased
contextual,mBERT,7,max,0.036487348960807686,0.4207847891462154,489,bert-base-multilingual-cased
contextual,mBERT,12,first,0.17182377555782483,0.00013437008710702827,489,bert-base-multilingual-cased
contextual,mBERT,12,last,0.14019601794564673,0.0018859415218428683,489,bert-base-multilingual-cased
contextual,mBERT,12,mean,0.10046269883899887,0.026316875189105953,489,bert-base-multilingual-cased
contextual,mBERT,12,max,-0.0357282066323583,0.43052133243311275,489,bert-base-multilingual-cased
contextual,XLM-R,1,first,0.12676617018485478,0.004994573952616037,489,xlm-roberta-base
contextual,XLM-R,1,last,0.07769789575531987,0.08609643907220722,489,xlm-roberta-base
contextual,XLM-R,1,mean,-0.05987454070915983,0.18622678416383706,489,xlm-roberta-base
contextual,XLM-R,1,max,-0.06088403793901447,0.17889947763270708,489,xlm-roberta-base
contextual,XLM-R,7,first,0.27468439689780916,6.497148658866103e-10,489,xlm-roberta-base
contextual,XLM-R,7,last,0.2078828560847448,3.5528213313972374e-06,489,xlm-roberta-base
contextual,XLM-R,7,mean,0.05264676486468501,0.24522630387485356,489,xlm-roberta-base
contextual,XLM-R,7,max,0.0859531248223724,0.057516772286175064,489,xlm-roberta-base
contextual,XLM-R,12,first,0.15911674654134905,0.0004122323076624529,489,xlm-roberta-base
contextual,XLM-R,12,last,0.12034008568310435,0.007721783089453474,489,xlm-roberta-base
contextual,XLM-R,12,mean,0.08814550522900642,0.051415380974182044,489,xlm-roberta-base
contextual,XLM-R,12,max,0.10784127415244593,0.017051799405984745,489,xlm-roberta-base
