aggregation_level,input_condition,model,layer,pooling,mean_spearman_rho,sd_spearman_rho,min_spearman_rho,max_spearman_rho,n_configurations
layer_overall,contextual,all,1,all,0.10569297716484564,0.18386268872384887,-0.1364246092765847,0.4554684322329078,12
layer_overall,contextual,all,7,all,0.2501130791704292,0.1516173852367669,0.05044510096871,0.5275383971276283,12
layer_overall,contextual,all,12,all,0.22247849433562836,0.15489872483481892,-0.0313791598615479,0.4526485971827697,12
layer_overall,isolated,all,1,all,0.12234813128834436,0.17510675156377217,-0.1193046084799321,0.4266940148626279,12
layer_overall,isolated,all,7,all,0.12239313275232809,0.13483139584740525,-0.0527572617492219,0.3150506288789555,12
layer_overall,isolated,all,12,all,0.1731827636458334,0.13374743086339277,-0.0055534694350408,0.3562642209728675,12
model_layer,contextual,BERTurk,1,all,0.31684315510770233,0.11178796459897339,0.1834385772335981,0.4554684322329078,4
model_layer,contextual,BERTurk,7,all,0.4262801457837016,0.07801848698550688,0.3376567653693514,0.5275383971276283,4
model_layer,contextual,BERTurk,12,all,0.41588431427190187,0.0469066455854505,0.3527321114141784,0.4526485971827697,4
model_layer,contextual,XLM-R,1,all,0.02241478400864902,0.10799555597839049,-0.0886119254962452,0.1365909462386466,4
model_layer,contextual,XLM-R,7,all,0.14659775573652697,0.08728032094841764,0.061881296539447,0.2478031363765112,4
model_layer,contextual,XLM-R,12,all,0.1445328864233396,0.027344671226761912,0.1141037387509285,0.180605554588667,4
model_layer,contextual,mBERT,1,all,-0.022179007621814427,0.09643306064457498,-0.1364246092765847,0.0974250892106725,4
model_layer,contextual,mBERT,7,all,0.17746133599105904,0.0887652278584165,0.05044510096871,0.244137610712835,4
model_layer,contextual,mBERT,12,all,0.10701828231164356,0.09632637752557364,-0.0313791598615479,0.1739303213877771,4
model_layer,isolated,BERTurk,1,all,0.3296485863987679,0.07926734590996751,0.232725576355916,0.4266940148626279,4
model_layer,isolated,BERTurk,7,all,0.29691070720179025,0.015991328224503634,0.2802605505670726,0.3150506288789555,4
model_layer,isolated,BERTurk,12,all,0.34382061829769894,0.016079078754752365,0.3223381707694723,0.3562642209728675,4
model_layer,isolated,XLM-R,1,all,0.031029580307237896,0.09176047901733458,-0.0629522351224439,0.1211717120011311,4
model_layer,isolated,XLM-R,7,all,0.0243586667655913,0.05494669024561172,-0.0527572617492219,0.0675863270547924,4
model_layer,isolated,XLM-R,12,all,0.08370308398405585,0.046984393854887334,0.0140730407106438,0.1153344686284987,4
model_layer,isolated,mBERT,1,all,0.006366227159027273,0.10664394318341201,-0.1193046084799321,0.1359953386270971,4
model_layer,isolated,mBERT,7,all,0.045910024289602704,0.04648565926952314,-0.0142015956949224,0.0904396106227888,4
model_layer,isolated,mBERT,12,all,0.09202458865574538,0.06959827164628736,-0.0055534694350408,0.1545530279057371,4
model_overall,contextual,BERTurk,all,all,0.3863358717211019,0.09122528199304152,0.1834385772335981,0.5275383971276283,12
model_overall,contextual,XLM-R,all,all,0.10451514205617186,0.09560202397109605,-0.0886119254962452,0.2478031363765112,12
model_overall,contextual,mBERT,all,all,0.08743353689362938,0.12112578838169981,-0.1364246092765847,0.244137610712835,12
model_overall,isolated,BERTurk,all,all,0.32345997063275234,0.047695614194632675,0.232725576355916,0.4266940148626279,12
model_overall,isolated,XLM-R,all,all,0.04636377701896168,0.06701039124019814,-0.0629522351224439,0.1211717120011311,12
model_overall,isolated,mBERT,all,all,0.04810028003479178,0.0796793532996296,-0.1193046084799321,0.1545530279057371,12
model_pooling,contextual,BERTurk,all,first,0.47855180884776854,0.04244705220510446,0.4526485971827697,0.5275383971276283,3
model_pooling,contextual,BERTurk,all,last,0.38368408625558553,0.04708195108045438,0.3294359364327293,0.4139007002759023,3
model_pooling,contextual,BERTurk,all,max,0.2912758180057093,0.09369348636698033,0.1834385772335981,0.3527321114141784,3
model_pooling,contextual,BERTurk,all,mean,0.39183177377534434,0.08129089738561486,0.2990296745315741,0.4504409264325345,3
model_pooling,contextual,XLM-R,all,first,0.18833321240127496,0.05600736853545886,0.1365909462386466,0.2478031363765112,3
model_pooling,contextual,XLM-R,all,last,0.1406510890180475,0.04982477013576867,0.0901979503547008,0.1898227688807879,3
model_pooling,contextual,XLM-R,all,max,0.0465872000627419,0.1202270904955307,-0.0886119254962452,0.1414897045351091,3
model_pooling,contextual,XLM-R,all,mean,0.04248906674262313,0.08302703174122995,-0.0485178350625061,0.1141037387509285,3
model_pooling,contextual,mBERT,all,first,0.16795712706833607,0.06774323469441575,0.0974250892106725,0.2325159706065586,3
model_pooling,contextual,mBERT,all,last,0.13566292139581626,0.1301376209527243,-0.0086340241968364,0.244137610712835,3
model_pooling,contextual,mBERT,all,max,-0.0391195560564742,0.0936750097503647,-0.1364246092765847,0.05044510096871,3
model_pooling,contextual,mBERT,all,mean,0.08523365516683946,0.11466074871880631,-0.0410824862245091,0.1827466616761326,3
model_pooling,isolated,BERTurk,all,first,0.365926508567604,0.056475168137552115,0.3150506288789555,0.4266940148626279,3
model_pooling,isolated,BERTurk,all,last,0.32060729093122725,0.029100671371031235,0.2872278841796387,0.3406451994872275,3
model_pooling,isolated,BERTurk,all,max,0.2784414325641536,0.04483398445502632,0.232725576355916,0.3223381707694723,3
model_pooling,isolated,BERTurk,all,mean,0.32886465046802454,0.025773592721693665,0.3051037651814941,0.3562642209728675,3
model_pooling,isolated,XLM-R,all,first,0.09869356897942046,0.03400357300574581,0.0595745263086316,0.1211717120011311,3
model_pooling,isolated,XLM-R,all,last,0.08751650483337692,0.01726055588825454,0.0675863270547924,0.0976150098276563,3
model_pooling,isolated,XLM-R,all,max,0.03312385298339,0.07016611250829888,-0.0314493332674177,0.1077898167694246,3
model_pooling,isolated,XLM-R,all,mean,-0.03387881872034067,0.04183921590669269,-0.0629522351224439,0.0140730407106438,3
model_pooling,isolated,mBERT,all,first,0.12699599238520767,0.032990509900733885,0.0904396106227888,0.1545530279057371,3
model_pooling,isolated,mBERT,all,last,0.0767675401757263,0.046718938690439485,0.0319015618830232,0.1251416593329325,3
model_pooling,isolated,mBERT,all,max,-0.046353224536631765,0.0633255543709159,-0.1193046084799321,-0.0055534694350408,3
model_pooling,isolated,mBERT,all,mean,0.03499081211486493,0.058546867642527464,-0.0231273833940791,0.0939571368193527,3
pooling_overall,contextual,all,all,first,0.2782807161057932,0.15817969281903704,0.0974250892106725,0.5275383971276283,9
pooling_overall,contextual,all,all,last,0.21999936555648308,0.14312339703408225,-0.0086340241968364,0.4139007002759023,9
pooling_overall,contextual,all,all,max,0.09958115400399233,0.1733476749388748,-0.1364246092765847,0.3527321114141784,9
pooling_overall,contextual,all,all,mean,0.17318483189493566,0.18410846114428384,-0.0485178350625061,0.4504409264325345,9
pooling_overall,isolated,all,all,first,0.19720535664407737,0.13236804061424398,0.0595745263086316,0.4266940148626279,9
pooling_overall,isolated,all,all,last,0.1616304453134435,0.12275969872365727,0.0319015618830232,0.3406451994872275,9
pooling_overall,isolated,all,all,max,0.08840402033697063,0.1556742916596033,-0.1193046084799321,0.3223381707694723,9
pooling_overall,isolated,all,all,mean,0.10999221462084958,0.17116247797014808,-0.0629522351224439,0.3562642209728675,9
