summary_source,robustness_subset,subset_description,model,model_name,layer,pooling,n,mean_sim_same_root,mean_sim_same_suffix,mean_delta,ci95_low,ci95_high,wilcoxon_p
headline_all_triplets,all_triplets,Headline all-triplet summary from 0603,BERTurk,dbmdz/bert-base-turkish-cased,1,first,60,0.7510263755497569,0.3810812529336438,0.3699451226161133,0.3240076092313428,0.4144896243664279,1.6295557943119338e-11
headline_all_triplets,all_triplets,Headline all-triplet summary from 0603,XLM-R,xlm-roberta-base,1,first,60,0.9553029918395132,0.5683634630422875,0.3869395287972257,0.3543194195845029,0.4138620892766376,1.994566564292453e-11
headline_all_triplets,all_triplets,Headline all-triplet summary from 0603,mBERT,bert-base-multilingual-cased,1,first,60,0.9793302246588832,0.3426853298664234,0.6366448947924597,0.6131369172043243,0.6589442481122505,1.6295557943119338e-11
robustness_best_by_subset_model,berturk_all_split_triplets,"Only triplets where BERTurk splits A_x, A_y, and B_x",BERTurk,dbmdz/bert-base-turkish-cased,1,first,13,0.972160974766816,0.3416439465383162,0.6305170282284998,0.5727538760337756,0.6731175367701997,0.000244140625
robustness_best_by_subset_model,berturk_all_split_triplets,"Only triplets where BERTurk splits A_x, A_y, and B_x",XLM-R,xlm-roberta-base,1,first,13,0.9863287578611426,0.6047708846712212,0.3815578731899213,0.3591052925736571,0.4025041826897401,0.000244140625
robustness_best_by_subset_model,berturk_all_split_triplets,"Only triplets where BERTurk splits A_x, A_y, and B_x",mBERT,bert-base-multilingual-cased,1,first,13,0.9614065088846898,0.4142253596417622,0.5471811492429276,0.5037564506343459,0.5905853269522867,0.000244140625
robustness_best_by_subset_model,berturk_shared_final_subtoken,Only triplets where BERTurk A_x and B_x share the final subtoken,BERTurk,dbmdz/bert-base-turkish-cased,1,first,18,0.8794185549922455,0.3964719432778139,0.4829466117144314,0.418446115974014,0.5448346515990329,7.62939453125e-06
robustness_best_by_subset_model,berturk_shared_final_subtoken,Only triplets where BERTurk A_x and B_x share the final subtoken,XLM-R,xlm-roberta-base,1,first,18,0.9878295789033524,0.5556326875831838,0.4321968913201686,0.4144964138406251,0.4495899147062934,7.62939453125e-06
robustness_best_by_subset_model,berturk_shared_final_subtoken,Only triplets where BERTurk A_x and B_x share the final subtoken,mBERT,bert-base-multilingual-cased,1,first,18,0.9749434138524538,0.38656592658468,0.5883774872677738,0.5471334518924399,0.6279337078862298,7.62939453125e-06
robustness_best_by_subset_model,model_all_three_split,"Only rows where the current model splits A_x, A_y, and B_x",BERTurk,dbmdz/bert-base-turkish-cased,1,first,13,0.972160974766816,0.3416439465383162,0.6305170282284998,0.5727538760337756,0.6731175367701997,0.000244140625
robustness_best_by_subset_model,model_all_three_split,"Only rows where the current model splits A_x, A_y, and B_x",XLM-R,xlm-roberta-base,1,first,57,0.974344672266098,0.5661802221386103,0.408164450127488,0.3893168935176799,0.4241818814823659,5.1437537512331566e-11
robustness_best_by_subset_model,model_all_three_split,"Only rows where the current model splits A_x, A_y, and B_x",mBERT,bert-base-multilingual-cased,1,first,60,0.9793302246588832,0.3426853298664234,0.6366448947924597,0.6154691334833626,0.6571340048078699,1.6295557943119338e-11
