input_condition,model,model_name,layer,pooling,spearman_rho_full_canonical,p_value_full_canonical,n_pairs_full_canonical,total_n_pairs,clean_pairs,split_pairs,one_word_split_pairs,both_words_split_pairs,clean_pair_percentage,split_pair_percentage,one_word_split_percentage,both_words_split_percentage,mean_pair_total_subtoken_count,median_pair_total_subtoken_count,mean_pair_max_subtoken_count,mean_pair_avg_subtoken_char_length,full_n_pairs,full_spearman_rho,full_p_value,clean_n_pairs,clean_spearman_rho,clean_p_value,split_n_pairs,split_spearman_rho,split_p_value,one_word_split_n_pairs,one_word_split_spearman_rho,one_word_split_p_value,both_words_split_n_pairs,both_words_split_spearman_rho,both_words_split_p_value,isolated_spearman_rho_same_config,contextual_spearman_rho_same_config,contextual_minus_isolated,mean_word1_context_sentence_count,mean_word2_context_sentence_count,rank_within_input_condition,rank_within_model_and_input,is_best_global,is_best_within_input_condition,is_best_within_model_and_input
isolated,BERTurk,dbmdz/bert-base-turkish-cased,1,first,0.4266940148626279,1.533853159284731e-23,500,500,225,275,170,105,45.0,55.0,34.0,21.0,3.092,3.0,1.826,4.613028571428571,500,0.4266940148626279,1.533853159284731e-23,225,0.5225130902830277,3.6640870669720685e-17,275,0.24155202868402698,5.175920248002212e-05,170,0.28597756457422796,0.00015654914365177808,105,0.17366598361777488,0.07643876516870268,0.4266940148626279,0.4554684322329078,0.02877441737027986,,,1,1,False,True,True
isolated,BERTurk,dbmdz/bert-base-turkish-cased,1,last,0.3339487891268157,1.721118178896909e-14,500,500,225,275,170,105,45.0,55.0,34.0,21.0,3.092,3.0,1.826,4.613028571428571,500,0.33394878912681575,1.721118178896909e-14,225,0.5225130902830277,3.6640870669720685e-17,275,0.08889866698637283,0.14144929951428736,170,0.22335095501116198,0.0034144444565679627,105,-0.004268586062141459,0.9655288772001995,0.3339487891268157,0.3294359364327293,-0.004512852694086411,,,5,5,False,False,False
isolated,BERTurk,dbmdz/bert-base-turkish-cased,1,mean,0.3252259652497119,8.800175933630869e-14,500,500,225,275,170,105,45.0,55.0,34.0,21.0,3.092,3.0,1.826,4.613028571428571,500,0.3252259652497119,8.800175933630869e-14,225,0.5225130902830277,3.6640870669720685e-17,275,0.12040150246972836,0.04606460671290004,170,0.37553301268473904,4.507911508058218e-07,105,0.008353858612411814,0.9325966097703282,0.3252259652497119,0.2990296745315741,-0.026196290718137838,,,6,6,False,False,False
isolated,BERTurk,dbmdz/bert-base-turkish-cased,1,max,0.232725576355916,1.414801030010414e-07,500,500,225,275,170,105,45.0,55.0,34.0,21.0,3.092,3.0,1.826,4.613028571428571,500,0.23272557635591606,1.414801030010414e-07,225,0.5225130902830277,3.6640870669720685e-17,275,0.019709195337744942,0.744891305721584,170,0.2386888883014733,0.0017209121713484148,105,-0.014235603579019002,0.8853957091379417,0.232725576355916,0.1834385772335981,-0.049286999122317904,,,12,12,False,False,False
isolated,BERTurk,dbmdz/bert-base-turkish-cased,7,first,0.3150506288789555,5.531051885527727e-13,500,500,225,275,170,105,45.0,55.0,34.0,21.0,3.092,3.0,1.826,4.613028571428571,500,0.3150506288789555,5.531051885527727e-13,225,0.297360767109672,5.661421639279553e-06,275,0.02618708945115383,0.6654798994707216,170,0.16014418430291957,0.03696932967912951,105,0.0751690149249745,0.44599315431209696,0.3150506288789555,0.5275383971276283,0.21248776824867277,,,8,8,False,False,False
isolated,BERTurk,dbmdz/bert-base-turkish-cased,7,last,0.2872278841796387,5.951603977923507e-11,500,500,225,275,170,105,45.0,55.0,34.0,21.0,3.092,3.0,1.826,4.613028571428571,500,0.28722788417963874,5.951603977923507e-11,225,0.297360767109672,5.661421639279553e-06,275,0.06655453385571349,0.27138670012443017,170,0.1791613985712392,0.01940325887743867,105,0.058518910518167516,0.5532006200217853,0.2872278841796387,0.4139007002759023,0.12667281609626363,,,10,10,False,False,False
isolated,BERTurk,dbmdz/bert-base-turkish-cased,7,mean,0.3051037651814941,3.1207473826799197e-12,500,500,225,275,170,105,45.0,55.0,34.0,21.0,3.092,3.0,1.826,4.613028571428571,500,0.3051037651814941,3.12074738267992e-12,225,0.297360767109672,5.661421639279553e-06,275,0.0714083819120969,0.23788590211815672,170,0.16559597459708256,0.030920064179986745,105,0.08476416788919923,0.3899402762321855,0.3051037651814941,0.4260247203619244,0.12092095518043028,,,9,9,False,False,False
isolated,BERTurk,dbmdz/bert-base-turkish-cased,7,max,0.2802605505670726,1.7776066104087963e-10,500,500,225,275,170,105,45.0,55.0,34.0,21.0,3.092,3.0,1.826,4.613028571428571,500,0.2802605505670726,1.7776066104087963e-10,225,0.297360767109672,5.661421639279553e-06,275,-0.007092790350230477,0.9067916396763195,170,0.13340134221602998,0.08287055621495759,105,0.07281736444411377,0.46038995493879586,0.2802605505670726,0.3376567653693514,0.0573962148022788,,,11,11,False,False,False
isolated,BERTurk,dbmdz/bert-base-turkish-cased,12,first,0.3560348819612285,2.1776679857602727e-16,500,500,225,275,170,105,45.0,55.0,34.0,21.0,3.092,3.0,1.826,4.613028571428571,500,0.3560348819612285,2.1776679857602727e-16,225,0.3813522119730621,3.351012981408982e-09,275,0.1465941079872182,0.014971256609859648,170,0.16588913458126936,0.03062016060530227,105,0.12856562216857229,0.19118985216086715,0.3560348819612285,0.4526485971827697,0.09661371522154116,,,3,3,False,False,False
isolated,BERTurk,dbmdz/bert-base-turkish-cased,12,last,0.3406451994872275,4.7451148104275415e-15,500,500,225,275,170,105,45.0,55.0,34.0,21.0,3.092,3.0,1.826,4.613028571428571,500,0.3406451994872275,4.745114810427542e-15,225,0.3813522119730621,3.351012981408982e-09,275,0.14109749304305244,0.019237205602239144,170,0.21812457764601656,0.004269877333706485,105,0.12773285507178642,0.19410505392857752,0.3406451994872275,0.407715622058125,0.06707042257089751,,,4,4,False,False,False
