input_condition,model,model_name,layer,pooling,fragmentation_category,spearman_rho,p_value,n_pairs,total_pairs,category_share,rank_within_configuration
isolated,BERTurk,dbmdz/bert-base-turkish-cased,1,first,clean,0.5225130902830277,3.6640870669720685e-17,225.0,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,1,last,clean,0.5225130902830277,3.6640870669720685e-17,225.0,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,1,mean,clean,0.5225130902830277,3.6640870669720685e-17,225.0,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,1,max,clean,0.5225130902830277,3.6640870669720685e-17,225.0,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,7,first,clean,0.297360767109672,5.661421639279553e-06,225.0,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,7,last,clean,0.297360767109672,5.661421639279553e-06,225.0,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,7,mean,clean,0.297360767109672,5.661421639279553e-06,225.0,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,7,max,clean,0.297360767109672,5.661421639279553e-06,225.0,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,12,first,clean,0.3813522119730621,3.351012981408982e-09,225.0,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,12,last,clean,0.3813522119730621,3.351012981408982e-09,225.0,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,12,mean,clean,0.3813522119730621,3.351012981408982e-09,225.0,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,12,max,clean,0.3813522119730621,3.351012981408982e-09,225.0,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,1,first,one_word_split,0.28597756457422796,0.00015654914365177808,170.0,500,0.34,2
isolated,BERTurk,dbmdz/bert-base-turkish-cased,1,last,one_word_split,0.22335095501116198,0.0034144444565679627,170.0,500,0.34,2
