input_condition,model,model_name,fragmentation_category,n_pairs,category_share,mean_spearman_rho,median_spearman_rho,min_spearman_rho,n_significant_p_lt_005,n_configurations,best_layer,best_pooling,max_spearman_rho,max_spearman_p_value
isolated,BERTurk,dbmdz/bert-base-turkish-cased,clean,225.0,0.45,0.4004086897885873,0.3813522119730621,0.297360767109672,12,12,1,last,0.5225130902830277,3.6640870669720685e-17
isolated,mBERT,bert-base-multilingual-cased,clean,12.0,0.024,-0.17482517482517482,-0.18881118881118883,-0.2377622377622378,0,12,7,mean,-0.0979020979020979,0.762121655996299
isolated,XLM-R,xlm-roberta-base,clean,93.0,0.186,0.1420989990605055,0.1407479501121443,0.13176832643878256,0,12,7,mean,0.1537807206305896,0.1410965363324623
contextual,BERTurk,dbmdz/bert-base-turkish-cased,clean,225.0,0.45,0.5371151368383141,0.5342554965312923,0.49313097808313144,12,12,7,max,0.5764639456240198,2.5280253051319675e-21
contextual,mBERT,bert-base-multilingual-cased,clean,12.0,0.024,-0.17132867132867136,-0.20979020979020982,-0.35664335664335667,0,12,7,last,0.034965034965034975,0.9140933424107598
contextual,XLM-R,xlm-roberta-base,clean,93.0,0.186,0.20744013017496152,0.20211617623894718,0.0909681410700415,6,12,7,first,0.3126670627013948,0.0022780519347358136
isolated,BERTurk,dbmdz/bert-base-turkish-cased,one_word_split,170.0,0.34,0.20597475918373673,0.18447153593186658,0.13340134221602998,10,12,1,mean,0.37553301268473904,4.507911508058218e-07
isolated,mBERT,bert-base-multilingual-cased,one_word_split,86.0,0.172,0.1376951532940899,0.12054642746281428,0.03518535043872302,2,12,12,last,0.25599821948732115,0.01735589435963462
isolated,XLM-R,xlm-roberta-base,one_word_split,188.0,0.376,0.011119816684460137,0.00911940279257791,-0.039639524020835565,0,12,12,last,0.07582606148164958,0.30102848649536856
contextual,BERTurk,dbmdz/bert-base-turkish-cased,one_word_split,170.0,0.34,0.3736135127882778,0.38043974712594975,0.17498202114961808,12,12,7,first,0.4936493874899537,7.914458930970101e-12
contextual,mBERT,bert-base-multilingual-cased,one_word_split,86.0,0.172,0.22889054390770722,0.2435676366209159,-0.015821600532848607,7,12,7,mean,0.4331906997235641,3.099438191470114e-05
contextual,XLM-R,xlm-roberta-base,one_word_split,188.0,0.376,0.10950673540291016,0.11169477546838599,-0.0004869363925240466,4,12,7,last,0.21826447739758034,0.0026202493556669623
isolated,BERTurk,dbmdz/bert-base-turkish-cased,both_words_split,105.0,0.21,0.08007570659272445,0.07996659140708687,-0.014235603579019002,0,12,1,first,0.17366598361777488,0.07643876516870268
isolated,mBERT,bert-base-multilingual-cased,both_words_split,402.0,0.804,0.07442344311918993,0.09441300308252351,-0.07750139533275455,6,12,12,first,0.16693997637280503,0.0007785119213069068
isolated,XLM-R,xlm-roberta-base,both_words_split,219.0,0.438,0.07792989687955523,0.06915512544915552,0.03430549494787531,2,12,1,first,0.1624484138345943,0.016116597803758057
contextual,BERTurk,dbmdz/bert-base-turkish-cased,both_words_split,105.0,0.21,0.1066391438450753,0.09830056135865275,-0.03908244073091972,2,12,7,first,0.318646021392177,0.0009234614561162774
contextual,mBERT,bert-base-multilingual-cased,both_words_split,402.0,0.804,0.09863930637661988,0.11364964064452815,-0.10136427505025158,9,12,7,last,0.22728630679233625,4.159083032395886e-06
contextual,XLM-R,xlm-roberta-base,both_words_split,219.0,0.438,0.10237005456991145,0.1099934022783153,-0.011946313931580051,4,12,7,first,0.21010287050326945,0.0017695109432418591
