input_condition,model,model_name,layer,pooling,fragmentation_category,spearman_rho,p_value,n_pairs,total_pairs,category_share,rank_within_configuration
isolated,BERTurk,dbmdz/bert-base-turkish-cased,1,first,clean,0.5225130902830277,3.664087066972069e-17,225,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,1,first,split,0.2415520286840269,5.175920248002212e-05,275,500,0.55,2
isolated,BERTurk,dbmdz/bert-base-turkish-cased,1,last,clean,0.5225130902830277,3.664087066972069e-17,225,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,1,last,split,0.0888986669863728,0.1414492995142873,275,500,0.55,2
isolated,BERTurk,dbmdz/bert-base-turkish-cased,1,mean,clean,0.5225130902830277,3.664087066972069e-17,225,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,1,mean,split,0.1204015024697283,0.0460646067129,275,500,0.55,2
isolated,BERTurk,dbmdz/bert-base-turkish-cased,1,max,clean,0.5225130902830277,3.664087066972069e-17,225,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,1,max,split,0.0197091953377449,0.744891305721584,275,500,0.55,2
isolated,BERTurk,dbmdz/bert-base-turkish-cased,7,first,clean,0.297360767109672,5.661421639279553e-06,225,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,7,first,split,0.0261870894511538,0.6654798994707216,275,500,0.55,2
isolated,BERTurk,dbmdz/bert-base-turkish-cased,7,last,clean,0.297360767109672,5.661421639279553e-06,225,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,7,last,split,0.0665545338557134,0.2713867001244301,275,500,0.55,2
isolated,BERTurk,dbmdz/bert-base-turkish-cased,7,mean,clean,0.297360767109672,5.661421639279553e-06,225,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,7,mean,split,0.0714083819120969,0.2378859021181567,275,500,0.55,2
isolated,BERTurk,dbmdz/bert-base-turkish-cased,7,max,clean,0.297360767109672,5.661421639279553e-06,225,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,7,max,split,-0.0070927903502304,0.9067916396763196,275,500,0.55,2
isolated,BERTurk,dbmdz/bert-base-turkish-cased,12,first,clean,0.3813522119730621,3.351012981408982e-09,225,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,12,first,split,0.1465941079872182,0.0149712566098596,275,500,0.55,2
isolated,BERTurk,dbmdz/bert-base-turkish-cased,12,last,clean,0.3813522119730621,3.351012981408982e-09,225,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,12,last,split,0.1410974930430524,0.0192372056022391,275,500,0.55,2
isolated,BERTurk,dbmdz/bert-base-turkish-cased,12,mean,clean,0.3813522119730621,3.351012981408982e-09,225,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,12,mean,split,0.1302665516327111,0.0308038900930351,275,500,0.55,2
isolated,BERTurk,dbmdz/bert-base-turkish-cased,12,max,clean,0.3813522119730621,3.351012981408982e-09,225,500,0.45,1
isolated,BERTurk,dbmdz/bert-base-turkish-cased,12,max,split,0.0542891248787359,0.3698021164036935,275,500,0.55,2
isolated,mBERT,bert-base-multilingual-cased,1,first,clean,-0.1888111888111888,0.5567370561768314,12,500,0.024,2
isolated,mBERT,bert-base-multilingual-cased,1,first,split,0.1286717790308408,0.0044132455036788,488,500,0.976,1
isolated,mBERT,bert-base-multilingual-cased,1,last,clean,-0.1888111888111888,0.5567370561768314,12,500,0.024,2
isolated,mBERT,bert-base-multilingual-cased,1,last,split,0.0215337038687881,0.6351218864744828,488,500,0.976,1
isolated,mBERT,bert-base-multilingual-cased,1,mean,clean,-0.1888111888111888,0.5567370561768314,12,500,0.024,2
isolated,mBERT,bert-base-multilingual-cased,1,mean,split,-0.0236180983904535,0.6027322354967658,488,500,0.976,1
isolated,mBERT,bert-base-multilingual-cased,1,max,clean,-0.1888111888111888,0.5567370561768314,12,500,0.024,2
isolated,mBERT,bert-base-multilingual-cased,1,max,split,-0.1136251822813456,0.0120129208263665,488,500,0.976,1
isolated,mBERT,bert-base-multilingual-cased,7,first,clean,-0.0979020979020979,0.762121655996299,12,500,0.024,2
isolated,mBERT,bert-base-multilingual-cased,7,first,split,0.0899831634211963,0.0469526354666958,488,500,0.976,1
isolated,mBERT,bert-base-multilingual-cased,7,last,clean,-0.0979020979020979,0.762121655996299,12,500,0.024,2
isolated,mBERT,bert-base-multilingual-cased,7,last,split,0.0696499357653182,0.1244064779082453,488,500,0.976,1
isolated,mBERT,bert-base-multilingual-cased,7,mean,clean,-0.0979020979020979,0.762121655996299,12,500,0.024,2
isolated,mBERT,bert-base-multilingual-cased,7,mean,split,0.0401463663115543,0.3761864777661711,488,500,0.976,1
isolated,mBERT,bert-base-multilingual-cased,7,max,clean,-0.0979020979020979,0.762121655996299,12,500,0.024,2
isolated,mBERT,bert-base-multilingual-cased,7,max,split,-0.0133482434011006,0.7686591489629194,488,500,0.976,1
isolated,mBERT,bert-base-multilingual-cased,12,first,clean,-0.2377622377622378,0.4568008526399232,12,500,0.024,2
isolated,mBERT,bert-base-multilingual-cased,12,first,split,0.1555552804142992,0.0005636464884336,488,500,0.976,1
isolated,mBERT,bert-base-multilingual-cased,12,last,clean,-0.2377622377622378,0.4568008526399232,12,500,0.024,2
isolated,mBERT,bert-base-multilingual-cased,12,last,split,0.1248737572677933,0.0057396269610726,488,500,0.976,1
isolated,mBERT,bert-base-multilingual-cased,12,mean,clean,-0.2377622377622378,0.4568008526399232,12,500,0.024,2
isolated,mBERT,bert-base-multilingual-cased,12,mean,split,0.0988499948438523,0.0290050665141728,488,500,0.976,1
isolated,mBERT,bert-base-multilingual-cased,12,max,clean,-0.2377622377622378,0.4568008526399232,12,500,0.024,2
isolated,mBERT,bert-base-multilingual-cased,12,max,split,-0.0001839598026597,0.9967658769235148,488,500,0.976,1
isolated,XLM-R,xlm-roberta-base,1,first,clean,0.1407479501121443,0.1784070452435773,93,500,0.186,1
isolated,XLM-R,xlm-roberta-base,1,first,split,0.092564752983653,0.062085106397516,407,500,0.814,2
isolated,XLM-R,xlm-roberta-base,1,last,clean,0.1407479501121443,0.1784070452435773,93,500,0.186,1
isolated,XLM-R,xlm-roberta-base,1,last,split,0.0308916394949065,0.5343055893300379,407,500,0.814,2
isolated,XLM-R,xlm-roberta-base,1,mean,clean,0.1407479501121443,0.1784070452435773,93,500,0.186,1
isolated,XLM-R,xlm-roberta-base,1,mean,split,-0.0169121466904799,0.733732507893641,407,500,0.814,2
isolated,XLM-R,xlm-roberta-base,1,max,clean,0.1407479501121443,0.1784070452435773,93,500,0.186,1
isolated,XLM-R,xlm-roberta-base,1,max,split,-0.0488577296165136,0.3254975116076428,407,500,0.814,2
isolated,XLM-R,xlm-roberta-base,7,first,clean,0.1537807206305896,0.1410965363324623,93,500,0.186,1
isolated,XLM-R,xlm-roberta-base,7,first,split,0.0123320137499543,0.8041086623700942,407,500,0.814,2
isolated,XLM-R,xlm-roberta-base,7,last,clean,0.1537807206305896,0.1410965363324623,93,500,0.186,1
isolated,XLM-R,xlm-roberta-base,7,last,split,0.0202106787005131,0.684358656069339,407,500,0.814,2
isolated,XLM-R,xlm-roberta-base,7,mean,clean,0.1537807206305896,0.1410965363324623,93,500,0.186,1
isolated,XLM-R,xlm-roberta-base,7,mean,split,-0.0206136360482907,0.6784131577207668,407,500,0.814,2
isolated,XLM-R,xlm-roberta-base,7,max,clean,0.1537807206305896,0.1410965363324623,93,500,0.186,1
isolated,XLM-R,xlm-roberta-base,7,max,split,-0.0168483525560424,0.7346990954880273,407,500,0.814,2
isolated,XLM-R,xlm-roberta-base,12,first,clean,0.1317683264387825,0.2080161036076824,93,500,0.186,1
isolated,XLM-R,xlm-roberta-base,12,first,split,0.0633329225019755,0.2022935640898112,407,500,0.814,2
isolated,XLM-R,xlm-roberta-base,12,last,clean,0.1317683264387825,0.2080161036076824,93,500,0.186,1
isolated,XLM-R,xlm-roberta-base,12,last,split,0.0496682903834842,0.3175257760716596,407,500,0.814,2
isolated,XLM-R,xlm-roberta-base,12,mean,clean,0.1317683264387825,0.2080161036076824,93,500,0.186,1
